activeCarHere,capacity,carsList,distance,id,inactive,latitude,longitude,modelsList,parkingAddress,showMarker,timestamp,total_cars,typeId
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:31:20.321932 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:33:25.085440 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:35:30.242980 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:37:35.247430 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:39:40.298383 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:41:45.145500 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:43:50.055645 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:45:55.070781 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:47:59.684216 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:50:04.533343 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:52:09.694933 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:54:14.749600 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:56:19.594649 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:58:24.326574 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:00:29.280336 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:02:34.337078 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:04:39.247818 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:06:44.205376 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:08:49.118278 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:10:53.874508 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:12:58.627307 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:15:03.425963 UTC,0,0.0
